"No.","Time","Source","Destination","Protocol","frame","subseq","seq","ts","pkt_cnt","stream_type","frame_type"
"87","1.058526","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","0","0","12920","32","0","0"
"88","1.058526","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","1","1","12921","32","0","0"
"89","1.058526","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","2","2","12921","32","0","0"
"90","1.058526","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","3","3","12921","32","0","0"
"91","1.058526","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","4","4","12921","32","0","0"
"92","1.058526","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","5","5","12921","32","0","0"
"93","1.058527","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","6","6","12922","32","0","0"
"94","1.058630","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","7","7","12922","32","0","0"
"95","1.058630","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","8","8","12922","32","0","0"
"96","1.058631","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","9","9","12922","32","0","0"
"97","1.058631","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","10","10","12922","32","0","0"
"98","1.058631","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","11","11","12922","32","0","0"
"99","1.058631","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","12","12","12922","32","0","0"
"100","1.058631","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","13","13","12922","32","0","0"
"101","1.058631","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","14","14","12922","32","0","0"
"102","1.058710","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","15","15","12923","32","0","0"
"103","1.058710","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","16","16","12923","32","0","0"
"104","1.058710","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","17","17","12923","32","0","0"
"105","1.058710","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","18","18","12923","32","0","0"
"106","1.058710","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","19","19","12923","32","0","0"
"107","1.058711","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","20","20","12923","32","0","0"
"108","1.058711","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","21","21","12923","32","0","0"
"109","1.058711","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","22","22","12923","32","0","0"
"110","1.058768","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","23","23","12923","32","0","0"
"111","1.058768","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","24","24","12923","32","0","0"
"112","1.058768","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","25","25","12923","32","0","0"
"113","1.058768","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","26","26","12923","32","0","0"
"114","1.058768","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","27","27","12924","32","0","0"
"115","1.058768","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","28","28","12924","32","0","0"
"116","1.058769","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","29","29","12924","32","0","0"
"117","1.058769","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","30","30","12924","32","0","0"
"118","1.058833","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1001","31","31","12924","32","0","0"
"128","1.148278","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1002","0","32","13009","7","0","1"
"129","1.148278","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1002","1","33","13009","7","0","1"
"130","1.148278","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1002","2","34","13009","7","0","1"
"131","1.148278","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1002","3","35","13010","7","0","1"
"132","1.148278","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1002","4","36","13010","7","0","1"
"133","1.148279","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1002","5","37","13010","7","0","1"
"134","1.148279","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1002","6","38","13010","7","0","1"
"148","1.208119","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1003","0","39","13076","6","0","1"
"149","1.208119","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1003","1","40","13077","6","0","1"
"151","1.215985","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1003","2","41","13077","6","0","1"
"152","1.215985","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1003","3","42","13078","6","0","1"
"153","1.215986","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1003","4","43","13078","6","0","1"
"154","1.215986","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1003","5","44","13078","6","0","1"
"168","1.275990","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1004","0","45","13144","6","0","1"
"169","1.275990","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1004","1","46","13144","6","0","1"
"170","1.275990","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1004","2","47","13144","6","0","1"
"173","1.289125","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1004","3","48","13145","6","0","1"
"174","1.289125","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1004","4","49","13145","6","0","1"
"175","1.289125","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1004","5","50","13145","6","0","1"
"191","1.387718","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1005","0","51","13247","5","0","1"
"192","1.387718","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1005","1","52","13248","5","0","1"
"193","1.387718","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1005","2","53","13248","5","0","1"
"194","1.387719","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1005","3","54","13248","5","0","1"
"195","1.387719","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1005","4","55","13248","5","0","1"
"208","1.436565","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1006","0","56","13306","6","0","1"
"211","1.448207","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1006","1","57","13306","6","0","1"
"212","1.448208","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1006","2","58","13307","6","0","1"
"213","1.448208","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1006","3","59","13307","6","0","1"
"214","1.448208","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1006","4","60","13307","6","0","1"
"215","1.448208","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1006","5","61","13307","6","0","1"
"228","1.509095","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1007","0","62","13369","5","0","1"
"229","1.509095","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1007","1","63","13369","5","0","1"
"230","1.509095","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1007","2","64","13369","5","0","1"
"231","1.509095","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1007","3","65","13369","5","0","1"
"232","1.509095","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1007","4","66","13370","5","0","1"
"248","1.568067","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1008","0","67","13436","6","0","1"
"249","1.568067","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1008","1","68","13436","6","0","1"
"250","1.568067","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1008","2","69","13436","6","0","1"
"251","1.568067","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1008","3","70","13437","6","0","1"
"252","1.568067","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1008","4","71","13437","6","0","1"
"255","1.576597","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1008","5","72","13437","6","0","1"
"268","1.637012","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1009","0","73","13507","6","0","1"
"270","1.647699","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1009","1","74","13508","6","0","1"
"271","1.647699","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1009","2","75","13508","6","0","1"
"272","1.647699","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1009","3","76","13509","6","0","1"
"273","1.647700","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1009","4","77","13509","6","0","1"
"274","1.647700","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1009","5","78","13509","6","0","1"
"287","1.708024","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1010","0","79","13573","6","0","1"
"288","1.708024","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1010","1","80","13573","6","0","1"
"289","1.708024","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1010","2","81","13574","6","0","1"
"290","1.708025","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1010","3","82","13575","6","0","1"
"291","1.708025","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1010","4","83","13575","6","0","1"
"292","1.708025","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1010","5","84","13575","6","0","1"
"312","1.808126","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1011","0","85","13669","6","0","1"
"313","1.808126","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1011","1","86","13670","6","0","1"
"314","1.808126","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1011","2","87","13670","6","0","1"
"315","1.808126","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1011","3","88","13671","6","0","1"
"316","1.808126","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1011","4","89","13671","6","0","1"
"317","1.808126","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1011","5","90","13672","6","0","1"
"334","1.887919","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1012","0","91","13757","6","0","1"
"335","1.887919","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1012","1","92","13758","6","0","1"
"339","1.898128","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1012","2","93","13758","6","0","1"
"340","1.898128","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1012","3","94","13758","6","0","1"
"341","1.898128","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1012","4","95","13759","6","0","1"
"342","1.898128","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1012","5","96","13759","6","0","1"
"353","1.936014","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1013","0","97","13805","6","0","1"
"354","1.936014","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1013","1","98","13805","6","0","1"
"356","1.948386","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1013","2","99","13806","6","0","1"
"357","1.948386","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1013","3","100","13806","6","0","1"
"358","1.948387","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1013","4","101","13806","6","0","1"
"360","1.948387","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1013","5","102","13806","6","0","1"
"372","2.008100","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1014","0","103","13872","6","0","1"
"373","2.008101","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1014","1","104","13873","6","0","1"
"374","2.008101","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1014","2","105","13873","6","0","1"
"375","2.008101","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1014","3","106","13873","6","0","1"
"376","2.008101","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1014","4","107","13874","6","0","1"
"377","2.008101","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1014","5","108","13874","6","0","1"
"392","2.067995","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1015","0","109","13937","6","0","1"
"393","2.067995","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1015","1","110","13937","6","0","1"
"396","2.076182","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1015","2","111","13937","6","0","1"
"397","2.076182","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1015","3","112","13938","6","0","1"
"398","2.076182","58.211.82.170","192.168.1.2","UDP1.VIDEO4","1015","4","113","13938","6","0","1"
