"No.","Time","Source","Destination","Protocol","losts","count","req_ms","losts_extend"
"1560","4.569871","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[822 : 0,]","1","5674503",""
"1586","4.621896","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[824 : 0,1,2,3,]","4","5674553",""
"1618","4.694521","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[829 : 0,1,2,3,4,]","5","5674628",""
"1660","4.770823","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[822 : 0,]","1","5674704",""
"1668","4.796006","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[835 : 0,1,]","2","5674729",""
"1695","4.820935","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[824 : 0,1,2,3,16,17,20,21,]","8","5674754",""
"1710","4.846502","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[822 : 0,]","1","5674779",""
"1733","4.871170","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[835 : 0,]","1","5674804",""
"1749","4.895884","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[827 : 0,3,4,5,13,14,20,21,]","8","5674829",""
"1770","4.922991","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[822 : 0,]","1","5674855",""
"1803","4.972159","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[827 : 0,3,4,5,13,20,21,24,25,27,29,30,]","12","5674905",""
"1818","4.997401","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[822 : 0,]","1","5674930",""
"1839","5.021967","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[860 : 0,2,3,4,5,]","5","5674955",""
"1855","5.047287","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[830 : 0,2,10,17,18,21,22,24,]","8","5674981",""
"1880","5.072886","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[822 : 0,]","1","5675006",""
"1902","5.097941","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[860 : 0,2,4,5,7,]","5","5675031",""
"1916","5.123121","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[830 : 0,17,21,22,24,]","5","5675056",""
"1971","5.174978","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[860 : 0,2,4,5,9,10,11,12,13,14,]","10","5675106",""
"1986","5.198222","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[830 : 0,17,21,22,]","4","5675131",""
"2016","5.224963","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[877 : 0,1,2,3,4,6,7,9,10,11,12,]","11","5675156",""
"2024","5.247809","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[860 : 0,2,5,9,10,13,14,]","7","5675181",""
"2048","5.273418","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[830 : 0,17,]","2","5675206",""
"2066","5.298346","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[881 : 0,2,3,5,7,10,11,12,13,14,]","10","5675231",""
"2087","5.333015","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[860 : 0,2,9,10,13,14,37,38,39,]","9","5675256",""
"2106","5.348886","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[830 : 0,17,]","2","5675282",""
"2133","5.377113","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[881 : 0,2,3,5,7,10,12,13,14,20,]","10","5675307",""
"2146","5.400968","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[860 : 0,9,10,14,37,38,39,]","7","5675332",""
"2163","5.424333","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[830 : 0,17,73,74,76,]","5","5675357",""
"2192","5.448776","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[881 : 0,2,5,10,12,20,]","6","5675382",""
"2205","5.474678","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[860 : 0,9,10,14,37,39,]","6","5675407",""
"2241","5.499609","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[830 : 0,17,73,74,76,]","5","5675432",""
