,Time,Length
0,4.569871,1
1,4.60356,0
2,4.621896,1
3,4.621896,2
4,4.621896,3
5,4.621896,4
6,4.655489,3
7,4.655489,2
8,4.655489,1
9,4.655489,0
10,4.694521,1
11,4.694521,2
12,4.694521,3
13,4.694521,4
14,4.694521,5
15,4.7259459999999995,4
16,4.7259459999999995,3
17,4.7259459999999995,2
18,4.7259459999999995,1
19,4.7259459999999995,0
20,4.770823,1
21,4.796005999999999,2
22,4.796005999999999,3
23,4.8040389999999995,2
24,4.8209349999999995,3
25,4.8209349999999995,4
26,4.8209349999999995,5
27,4.8209349999999995,6
28,4.8209349999999995,7
29,4.8209349999999995,8
30,4.8209349999999995,9
31,4.8209349999999995,10
32,4.824205,9
33,4.824205,8
34,4.846502,9
35,4.856578,8
36,4.856578,7
37,4.856666000000001,6
38,4.856666000000001,5
39,4.856667,4
40,4.856667,3
41,4.856667,2
42,4.856667,1
43,4.871169999999999,2
44,4.87669,1
45,4.895884,2
46,4.895884,3
47,4.895884,4
48,4.895884,5
49,4.895884,6
50,4.895884,7
51,4.895884,8
52,4.895884,9
53,4.903283,8
54,4.922991000000001,9
55,4.927316,8
56,4.927316,7
57,4.927316,6
58,4.927316,5
59,4.927316,4
60,4.927316,3
61,4.927316,2
62,4.927316,1
63,4.955316000000001,0
64,4.9721589999999996,1
65,4.9721589999999996,2
66,4.9721589999999996,3
67,4.9721589999999996,4
68,4.9721589999999996,5
69,4.9721589999999996,6
70,4.9721589999999996,7
71,4.9721589999999996,8
72,4.9721589999999996,9
73,4.9721589999999996,10
74,4.9721589999999996,11
75,4.9721589999999996,12
76,4.997401,13
77,5.003318,12
78,5.003318,11
79,5.003318,10
80,5.003318,9
81,5.003318,8
82,5.003318,7
83,5.003318,6
84,5.003318,5
85,5.003349,4
86,5.003349,3
87,5.003349,2
88,5.003371,1
89,5.021967,2
90,5.021967,3
91,5.021967,4
92,5.021967,5
93,5.021967,6
94,5.035742,5
95,5.047287,6
96,5.047287,7
97,5.047287,8
98,5.047287,9
99,5.047287,10
100,5.047287,11
101,5.047287,12
102,5.047287,13
103,5.056535,12
104,5.05659,11
105,5.05659,10
106,5.05659,9
107,5.05659,8
108,5.0728860000000005,9
109,5.076681,8
110,5.076681,7
111,5.076681,6
112,5.076681,5
113,5.076756,4
114,5.076756,3
115,5.0972029999999995,2
116,5.097221,1
117,5.0979410000000005,2
118,5.0979410000000005,3
119,5.0979410000000005,4
120,5.0979410000000005,5
121,5.0979410000000005,6
122,5.1032910000000005,5
123,5.123121,6
124,5.123121,7
125,5.123121,8
126,5.123121,9
127,5.123121,10
128,5.135432,9
129,5.135432,8
130,5.135432,7
131,5.135432,6
132,5.135433,5
133,5.15674,4
134,5.15674,3
135,5.15674,2
136,5.156741,1
137,5.156741,0
138,5.174978,1
139,5.174978,2
140,5.174978,3
141,5.174978,4
142,5.174978,5
143,5.174978,6
144,5.174978,7
145,5.174978,8
146,5.174978,9
147,5.174978,10
148,5.198222,11
149,5.198222,12
150,5.198222,13
151,5.198222,14
152,5.215756,13
153,5.215756,12
154,5.215756,11
155,5.215757,10
156,5.215757,9
157,5.215757,8
158,5.215757,7
159,5.215864,6
160,5.215864,5
161,5.215864,4
162,5.224963,5
163,5.224963,6
164,5.224963,7
165,5.224963,8
166,5.224963,9
167,5.224963,10
168,5.224963,11
169,5.224963,12
170,5.224963,13
171,5.224963,14
172,5.224963,15
173,5.235824,14
174,5.235824,13
175,5.235824,12
176,5.235824,11
177,5.247808999999999,12
178,5.247808999999999,13
179,5.247808999999999,14
180,5.247808999999999,15
181,5.247808999999999,16
182,5.247808999999999,17
183,5.247808999999999,18
184,5.256588,17
185,5.256588,16
186,5.256588,15
187,5.256588,14
188,5.256714,13
189,5.256714,12
190,5.256714,11
191,5.256714,10
192,5.256714,9
193,5.256714,8
194,5.256714,7
195,5.273418,8
196,5.273418,9
197,5.295748000000001,8
198,5.295748000000001,7
199,5.295748000000001,6
200,5.295749,5
201,5.295749,4
202,5.295749,3
203,5.295749,2
204,5.298346,3
205,5.298346,4
206,5.298346,5
207,5.298346,6
208,5.298346,7
209,5.298346,8
210,5.298346,9
211,5.298346,10
212,5.298346,11
213,5.298346,12
214,5.303397,11
215,5.303397,10
216,5.3330150000000005,11
217,5.3330150000000005,12
218,5.3330150000000005,13
219,5.3330150000000005,14
220,5.3330150000000005,15
221,5.3330150000000005,16
222,5.3330150000000005,17
223,5.3330150000000005,18
224,5.3330150000000005,19
225,5.336481,18
226,5.336481,17
227,5.336481,16
228,5.336481,15
229,5.336481,14
230,5.336482,13
231,5.336482,12
232,5.336482,11
233,5.336571,10
234,5.336571,9
235,5.348886,10
236,5.348886,11
237,5.364476,10
238,5.364573,9
239,5.364573,8
240,5.364573,7
241,5.364573,6
242,5.377113,7
243,5.377113,8
244,5.377113,9
245,5.377113,10
246,5.377113,11
247,5.377113,12
248,5.377113,13
249,5.377113,14
250,5.377113,15
251,5.377113,16
252,5.395709,15
253,5.39571,14
254,5.39571,13
255,5.39571,12
256,5.39571,11
257,5.39571,10
258,5.400968,11
259,5.400968,12
260,5.400968,13
261,5.400968,14
262,5.400968,15
263,5.400968,16
264,5.400968,17
265,5.415732,16
266,5.415733,15
267,5.415733,14
268,5.415733,13
269,5.415733,12
270,5.415733,11
271,5.415733,10
272,5.415733,9
273,5.415843,8
274,5.415844,7
275,5.424333,8
276,5.424333,9
277,5.424333,10
278,5.424333,11
279,5.424333,12
280,5.435291,11
281,5.435291,10
282,5.435291,9
283,5.435291,8
284,5.435291,7
285,5.435291,6
286,5.435291,5
287,5.4487760000000005,6
288,5.4487760000000005,7
289,5.4487760000000005,8
290,5.4487760000000005,9
291,5.4487760000000005,10
292,5.4487760000000005,11
293,5.474678,12
294,5.474678,13
295,5.474678,14
296,5.474678,15
297,5.474678,16
298,5.474678,17
299,5.475999,16
300,5.496333,15
301,5.496333,14
302,5.496425,13
303,5.4964260000000005,12
304,5.4964260000000005,11
305,5.4964260000000005,10
306,5.4964260000000005,9
307,5.4964260000000005,8
308,5.4964260000000005,7
309,5.4964260000000005,6
310,5.4996089999999995,7
311,5.4996089999999995,8
312,5.4996089999999995,9
313,5.4996089999999995,10
314,5.4996089999999995,11
315,5.503361,10
316,5.503361,9
317,5.503361,8
318,5.503361,7
319,5.503361,6
320,5.503361,5
321,5.527297,6
322,5.527297,7
323,5.527297,8
324,5.527297,9
325,5.527297,10
326,5.536565,9
327,5.536565,8
328,5.536565,7
329,5.5365660000000005,6
330,5.5365660000000005,5
331,5.551387,6
332,5.551387,7
333,5.551387,8
334,5.556776,7
335,5.556776,6
336,5.57669,7
337,5.57669,8
338,5.57669,9
339,5.57669,10
340,5.57669,11
341,5.57669,12
342,5.57669,13
343,5.57669,14
344,5.57669,15
345,5.57669,16
346,5.57669,17
347,5.57669,18
348,5.57669,19
349,5.57669,20
350,5.596556,19
351,5.596556,18
352,5.596556,17
353,5.596556,16
354,5.596652,15
355,5.596652,14
356,5.6154910000000005,13
357,5.6154910000000005,12
358,5.6154910000000005,11
359,5.6154910000000005,10
360,5.615492,9
361,5.615492,8
362,5.615492,7
363,5.615492,6
364,5.615583,5
365,5.615583,4
366,5.615583,3
367,5.615583,2
368,5.615583,1
369,5.615583,0
370,5.627561,1
371,5.627561,2
372,5.627561,3
373,5.627561,4
374,5.627561,5
375,5.627561,6
376,5.627561,7
377,5.652614,8
378,5.652614,9
379,5.652614,10
380,5.652614,11
381,5.652614,12
382,5.652614,13
383,5.652614,14
384,5.652614,15
385,5.652614,16
386,5.652614,17
387,5.652614,18
388,5.652614,19
389,5.652614,20
390,5.657014,19
391,5.657014,18
392,5.657015,17
393,5.657015,16
394,5.6790910000000006,17
395,5.6790910000000006,18
396,5.696177,17
397,5.696178,16
398,5.696178,15
399,5.696178,14
400,5.696178,13
401,5.696236,12
402,5.696237,11
403,5.696237,10
404,5.696237,9
405,5.696237,8
406,5.696237,7
407,5.696299,6
408,5.6963,5
409,5.6963,4
410,5.6963,3
411,5.6963,2
412,5.7068769999999995,3
413,5.7068769999999995,4
414,5.7068769999999995,5
415,5.7068769999999995,6
416,5.7068769999999995,7
417,5.715466,6
418,5.715466,5
419,5.728936,6
420,5.728936,7
421,5.728936,8
422,5.728936,9
423,5.728936,10
424,5.728936,11
425,5.728936,12
426,5.728936,13
427,5.728936,14
428,5.728936,15
429,5.735723,14
430,5.735723,13
431,5.735723,12
432,5.735723,11
433,5.735723,10
434,5.764457,9
435,5.778988,10
436,5.778988,11
437,5.778988,12
438,5.778988,13
439,5.778988,14
440,5.778988,15
441,5.795893,14
442,5.7958940000000005,13
443,5.7958940000000005,12
444,5.7958940000000005,11
445,5.7958940000000005,10
446,5.7958940000000005,9
447,5.7958940000000005,8
448,5.7958940000000005,7
449,5.795985,6
450,5.804066000000001,7
451,5.804066000000001,8
452,5.804066000000001,9
453,5.804066000000001,10
454,5.804066000000001,11
455,5.804066000000001,12
456,5.804066000000001,13
457,5.817308000000001,12
458,5.817309,11
459,5.817309,10
460,5.817309,9
461,5.817309,8
462,5.817309,7
463,5.8355879999999996,6
464,5.8355879999999996,5
465,5.8355879999999996,4
466,5.8355879999999996,3
467,5.835637,2
468,5.835637,1
469,5.835637,0
470,5.85425,1
471,5.85425,2
472,5.85425,3
473,5.85425,4
474,5.87951,5
475,5.87951,6
476,5.87951,7
477,5.87951,8
478,5.87951,9
479,5.88569,8
480,5.88569,7
481,5.8959269999999995,6
482,5.8959269999999995,5
483,5.903653,6
484,5.903653,7
485,5.903653,8
486,5.915672,7
487,5.915672,6
488,5.915672,5
489,5.915672,4
490,5.915672,3
491,5.930001,4
492,5.930001,5
493,5.930001,6
494,5.936251,5
495,5.936251,4
496,5.936251,3
497,5.956407,4
498,5.956407,5
499,5.956407,6
500,5.956407,7
501,5.956407,8
502,5.956407,9
503,5.956407,10
504,5.956407,11
505,5.956407,12
506,5.956407,13
507,5.956407,14
508,5.967199,13
509,5.967199,12
510,5.967199,11
511,5.982359,12
512,5.996567,11
513,5.996568,10
514,5.996568,9
515,5.996568,8
516,5.996568,7
517,5.996568,6
518,5.996568,5
519,5.996568,4
520,5.9966870000000005,3
521,5.996688,2
522,5.996688,1
523,6.006737,2
524,6.006737,3
525,6.015655000000001,2
526,6.03274,3
527,6.03274,4
528,6.03274,5
529,6.03274,6
530,6.03274,7
531,6.03274,8
532,6.03274,9
533,6.03274,10
534,6.03274,11
535,6.036042,10
536,6.036042,9
537,6.056607,10
538,6.064789,9
539,6.064789,8
540,6.064789,7
541,6.06479,6
542,6.06479,5
543,6.06479,4
544,6.06479,3
545,6.064886,2
546,6.064887000000001,1
547,6.082913,2
548,6.082913,3
549,6.082913,4
550,6.082913,5
551,6.082913,6
552,6.082913,7
553,6.082913,8
554,6.082913,9
555,6.097193,8
556,6.108521,9
557,6.108521,10
558,6.108521,11
559,6.108521,12
560,6.108521,13
561,6.116499,12
562,6.116593,11
563,6.116593,10
564,6.116594,9
565,6.116594,8
566,6.116594,7
567,6.116594,6
568,6.116594,5
569,6.133583,6
570,6.133583,7
571,6.133583,8
572,6.133583,9
573,6.13598,8
574,6.13598,7
575,6.135981,6
576,6.135981,5
577,6.135981,4
578,6.159689,5
579,6.159689,6
580,6.159689,7
581,6.159689,8
582,6.159689,9
583,6.159689,10
584,6.159689,11
585,6.159689,12
586,6.164926,11
587,6.164998000000001,10
588,6.164998000000001,9
589,6.164998000000001,8
590,6.185025,9
591,6.185025,10
592,6.185025,11
593,6.195448000000001,10
594,6.195449,9
595,6.195449,8
596,6.195449,7
597,6.195449,6
598,6.195449,5
599,6.195449,4
600,6.195449,3
601,6.215102,4
602,6.215102,5
603,6.215102,6
604,6.215102,7
605,6.216703,6
606,6.216703,5
607,6.216703,4
608,6.236175,5
609,6.236175,6
610,6.236175,7
611,6.236175,8
612,6.236175,9
613,6.236175,10
614,6.236175,11
615,6.236175,12
616,6.246642,11
617,6.246642,10
618,6.246642,9
619,6.246642,8
620,6.260859,9
621,6.260859,10
622,6.260859,11
623,6.260859,12
624,6.260859,13
625,6.260859,14
626,6.260859,15
627,6.260859,16
628,6.276653,15
629,6.276653,14
630,6.276653,13
631,6.276653,12
632,6.276654,11
633,6.276654,10
634,6.276654,9
635,6.276654,8
636,6.287469000000001,9
637,6.287469000000001,10
638,6.287469000000001,11
639,6.296926,10
640,6.296926999999999,9
641,6.296926999999999,8
642,6.296926999999999,7
643,6.296926999999999,6
644,6.296926999999999,5
645,6.296926999999999,4
646,6.296926999999999,3
647,6.311912,4
648,6.311912,5
649,6.311912,6
650,6.311912,7
651,6.311912,8
652,6.311912,9
653,6.311912,10
654,6.316635,9
655,6.316635,8
656,6.3167089999999995,7
657,6.337904,8
658,6.337904,9
659,6.337904,10
660,6.337904,11
661,6.337904,12
662,6.337904,13
663,6.337904,14
664,6.345804,13
665,6.345804,12
666,6.345804,11
667,6.345804,10
668,6.345804,9
669,6.345804,8
670,6.345804,7
671,6.3635589999999995,8
672,6.365255,7
673,6.365255,6
674,6.365255,5
675,6.365308,4
676,6.365308,3
677,6.365308,2
678,6.365308,1
679,6.3891849999999994,2
680,6.3891849999999994,3
681,6.3891849999999994,4
682,6.3891849999999994,5
683,6.3891849999999994,6
684,6.3891849999999994,7
685,6.3891849999999994,8
686,6.395528,7
687,6.4141900000000005,8
688,6.4141900000000005,9
689,6.4141900000000005,10
690,6.4141900000000005,11
691,6.4141900000000005,12
692,6.4141900000000005,13
693,6.4235169999999995,12
694,6.4235169999999995,11
695,6.4235169999999995,10
696,6.423518,9
697,6.423518,8
698,6.423518,7
699,6.423518,6
700,6.439478,7
701,6.439478,8
702,6.439478,9
703,6.439478,10
704,6.439478,11
705,6.439478,12
706,6.443813,11
707,6.443813,10
708,6.443813,9
709,6.443813,8
710,6.443813,7
711,6.443813,6
712,6.463680999999999,7
713,6.463680999999999,8
714,6.463680999999999,9
715,6.463680999999999,10
716,6.47716,9
717,6.47716,8
718,6.47716,7
719,6.47716,6
720,6.47716,5
721,6.47716,4
722,6.48944,5
723,6.48944,6
724,6.48944,7
725,6.48944,8
726,6.48944,9
727,6.495956,8
728,6.495956,7
729,6.495957,6
730,6.495957,5
731,6.513889,6
732,6.513889,7
733,6.513889,8
734,6.513889,9
735,6.523702,8
736,6.523702,7
737,6.523702,6
738,6.523703,5
739,6.523703,4
740,6.539372,5
741,6.539372,6
742,6.539372,7
743,6.539372,8
744,6.539372,9
745,6.539372,10
746,6.539372,11
747,6.544735,10
748,6.544735,9
749,6.544736,8
750,6.544736,7
751,6.564755,8
752,6.564755,9
753,6.564755,10
754,6.564755,11
755,6.564755,12
756,6.564755,13
757,6.564755,14
758,6.576314,13
759,6.576314999999999,12
760,6.576314999999999,11
761,6.576314999999999,10
762,6.576314999999999,9
763,6.576314999999999,8
764,6.576314999999999,7
765,6.590561,8
766,6.590561,9
767,6.6038429999999995,8
768,6.6038429999999995,7
769,6.6038429999999995,6
770,6.6038429999999995,5
771,6.6038429999999995,4
772,6.6038440000000005,3
773,6.6038440000000005,2
774,6.616875,3
775,6.616875,4
776,6.616875,5
777,6.616875,6
778,6.616875,7
779,6.626734,6
780,6.626734,5
781,6.640585000000001,6
782,6.640585000000001,7
783,6.640585000000001,8
784,6.640585000000001,9
785,6.640585000000001,10
786,6.644392999999999,9
787,6.644392999999999,8
788,6.644394,7
789,6.644394,6
790,6.644394,5
791,6.666085000000001,6
792,6.666085000000001,7
793,6.676353,6
794,6.676353,5
795,6.676353,4
796,6.676353999999999,3
797,6.676353999999999,2
798,6.691965,3
799,6.691965,4
800,6.691965,5
801,6.691965,6
802,6.691965,7
803,6.691965,8
804,6.691965,9
805,6.691965,10
806,6.691965,11
807,6.691965,12
808,6.691965,13
809,6.691965,14
810,6.695522,13
811,6.695522,12
812,6.71788,13
813,6.71788,14
814,6.724605,13
815,6.724605,12
816,6.724605,11
817,6.724605,10
818,6.724605,9
819,6.724605,8
820,6.724605,7
821,6.724723,6
822,6.724723,5
823,6.724723,4
824,6.724723,3
825,6.724723,2
826,6.742977000000001,3
827,6.742977000000001,4
828,6.756514,3
829,6.756514,2
830,6.7686779999999995,3
831,6.7686779999999995,4
832,6.7686779999999995,5
833,6.7686779999999995,6
