,Time,Protocol,seq
0,4.569871,UDP1.VIDEO_REX_REQ_V3,822
1,4.60356,UDP1.VIDEO4_ARQ_RES,822
2,4.621896,UDP1.VIDEO_REX_REQ_V3,824
3,4.621896,UDP1.VIDEO_REX_REQ_V3,825
4,4.621896,UDP1.VIDEO_REX_REQ_V3,826
5,4.621896,UDP1.VIDEO_REX_REQ_V3,827
6,4.655489,UDP1.VIDEO4_ARQ_RES,824
7,4.655489,UDP1.VIDEO4_ARQ_RES,825
8,4.655489,UDP1.VIDEO4_ARQ_RES,826
9,4.655489,UDP1.VIDEO4_ARQ_RES,827
10,4.694521,UDP1.VIDEO_REX_REQ_V3,829
11,4.694521,UDP1.VIDEO_REX_REQ_V3,830
12,4.694521,UDP1.VIDEO_REX_REQ_V3,831
13,4.694521,UDP1.VIDEO_REX_REQ_V3,832
14,4.694521,UDP1.VIDEO_REX_REQ_V3,833
15,4.7259459999999995,UDP1.VIDEO4_ARQ_RES,829
16,4.7259459999999995,UDP1.VIDEO4_ARQ_RES,830
17,4.7259459999999995,UDP1.VIDEO4_ARQ_RES,831
18,4.7259459999999995,UDP1.VIDEO4_ARQ_RES,832
19,4.7259459999999995,UDP1.VIDEO4_ARQ_RES,833
20,4.770823,UDP1.VIDEO_REX_REQ_V3,822
21,4.796005999999999,UDP1.VIDEO_REX_REQ_V3,835
22,4.796005999999999,UDP1.VIDEO_REX_REQ_V3,836
23,4.8040389999999995,UDP1.VIDEO4_ARQ_RES,822
24,4.8209349999999995,UDP1.VIDEO_REX_REQ_V3,824
25,4.8209349999999995,UDP1.VIDEO_REX_REQ_V3,825
26,4.8209349999999995,UDP1.VIDEO_REX_REQ_V3,826
27,4.8209349999999995,UDP1.VIDEO_REX_REQ_V3,827
28,4.8209349999999995,UDP1.VIDEO_REX_REQ_V3,840
29,4.8209349999999995,UDP1.VIDEO_REX_REQ_V3,841
30,4.8209349999999995,UDP1.VIDEO_REX_REQ_V3,844
31,4.8209349999999995,UDP1.VIDEO_REX_REQ_V3,845
32,4.824205,UDP1.VIDEO4_ARQ_RES,835
33,4.824205,UDP1.VIDEO4_ARQ_RES,836
34,4.846502,UDP1.VIDEO_REX_REQ_V3,822
35,4.856578,UDP1.VIDEO4_ARQ_RES,824
36,4.856578,UDP1.VIDEO4_ARQ_RES,825
37,4.856666000000001,UDP1.VIDEO4_ARQ_RES,826
38,4.856666000000001,UDP1.VIDEO4_ARQ_RES,827
39,4.856667,UDP1.VIDEO4_ARQ_RES,840
40,4.856667,UDP1.VIDEO4_ARQ_RES,841
41,4.856667,UDP1.VIDEO4_ARQ_RES,844
42,4.856667,UDP1.VIDEO4_ARQ_RES,845
43,4.871169999999999,UDP1.VIDEO_REX_REQ_V3,835
44,4.87669,UDP1.VIDEO4_ARQ_RES,822
45,4.895884,UDP1.VIDEO_REX_REQ_V3,827
46,4.895884,UDP1.VIDEO_REX_REQ_V3,830
47,4.895884,UDP1.VIDEO_REX_REQ_V3,831
48,4.895884,UDP1.VIDEO_REX_REQ_V3,832
49,4.895884,UDP1.VIDEO_REX_REQ_V3,840
50,4.895884,UDP1.VIDEO_REX_REQ_V3,841
51,4.895884,UDP1.VIDEO_REX_REQ_V3,847
52,4.895884,UDP1.VIDEO_REX_REQ_V3,848
53,4.903283,UDP1.VIDEO4_ARQ_RES,835
54,4.922991000000001,UDP1.VIDEO_REX_REQ_V3,822
55,4.927316,UDP1.VIDEO4_ARQ_RES,827
56,4.927316,UDP1.VIDEO4_ARQ_RES,830
57,4.927316,UDP1.VIDEO4_ARQ_RES,831
58,4.927316,UDP1.VIDEO4_ARQ_RES,832
59,4.927316,UDP1.VIDEO4_ARQ_RES,840
60,4.927316,UDP1.VIDEO4_ARQ_RES,841
61,4.927316,UDP1.VIDEO4_ARQ_RES,847
62,4.927316,UDP1.VIDEO4_ARQ_RES,848
63,4.955316000000001,UDP1.VIDEO4_ARQ_RES,822
64,4.9721589999999996,UDP1.VIDEO_REX_REQ_V3,827
65,4.9721589999999996,UDP1.VIDEO_REX_REQ_V3,830
66,4.9721589999999996,UDP1.VIDEO_REX_REQ_V3,831
67,4.9721589999999996,UDP1.VIDEO_REX_REQ_V3,832
68,4.9721589999999996,UDP1.VIDEO_REX_REQ_V3,840
69,4.9721589999999996,UDP1.VIDEO_REX_REQ_V3,847
70,4.9721589999999996,UDP1.VIDEO_REX_REQ_V3,848
71,4.9721589999999996,UDP1.VIDEO_REX_REQ_V3,851
72,4.9721589999999996,UDP1.VIDEO_REX_REQ_V3,852
73,4.9721589999999996,UDP1.VIDEO_REX_REQ_V3,854
74,4.9721589999999996,UDP1.VIDEO_REX_REQ_V3,856
75,4.9721589999999996,UDP1.VIDEO_REX_REQ_V3,857
76,4.997401,UDP1.VIDEO_REX_REQ_V3,822
77,5.003318,UDP1.VIDEO4_ARQ_RES,827
78,5.003318,UDP1.VIDEO4_ARQ_RES,830
79,5.003318,UDP1.VIDEO4_ARQ_RES,831
80,5.003318,UDP1.VIDEO4_ARQ_RES,832
81,5.003318,UDP1.VIDEO4_ARQ_RES,840
82,5.003318,UDP1.VIDEO4_ARQ_RES,847
83,5.003318,UDP1.VIDEO4_ARQ_RES,848
84,5.003318,UDP1.VIDEO4_ARQ_RES,851
85,5.003349,UDP1.VIDEO4_ARQ_RES,852
86,5.003349,UDP1.VIDEO4_ARQ_RES,854
87,5.003349,UDP1.VIDEO4_ARQ_RES,856
88,5.003371,UDP1.VIDEO4_ARQ_RES,857
89,5.021967,UDP1.VIDEO_REX_REQ_V3,860
90,5.021967,UDP1.VIDEO_REX_REQ_V3,862
91,5.021967,UDP1.VIDEO_REX_REQ_V3,863
92,5.021967,UDP1.VIDEO_REX_REQ_V3,864
93,5.021967,UDP1.VIDEO_REX_REQ_V3,865
94,5.035742,UDP1.VIDEO4_ARQ_RES,822
95,5.047287,UDP1.VIDEO_REX_REQ_V3,830
96,5.047287,UDP1.VIDEO_REX_REQ_V3,832
97,5.047287,UDP1.VIDEO_REX_REQ_V3,840
98,5.047287,UDP1.VIDEO_REX_REQ_V3,847
99,5.047287,UDP1.VIDEO_REX_REQ_V3,848
100,5.047287,UDP1.VIDEO_REX_REQ_V3,851
101,5.047287,UDP1.VIDEO_REX_REQ_V3,852
102,5.047287,UDP1.VIDEO_REX_REQ_V3,854
103,5.056535,UDP1.VIDEO4_ARQ_RES,860
104,5.05659,UDP1.VIDEO4_ARQ_RES,862
105,5.05659,UDP1.VIDEO4_ARQ_RES,863
106,5.05659,UDP1.VIDEO4_ARQ_RES,864
107,5.05659,UDP1.VIDEO4_ARQ_RES,865
108,5.0728860000000005,UDP1.VIDEO_REX_REQ_V3,822
109,5.076681,UDP1.VIDEO4_ARQ_RES,830
110,5.076681,UDP1.VIDEO4_ARQ_RES,832
111,5.076681,UDP1.VIDEO4_ARQ_RES,840
112,5.076681,UDP1.VIDEO4_ARQ_RES,847
113,5.076756,UDP1.VIDEO4_ARQ_RES,848
114,5.076756,UDP1.VIDEO4_ARQ_RES,851
115,5.0972029999999995,UDP1.VIDEO4_ARQ_RES,852
116,5.097221,UDP1.VIDEO4_ARQ_RES,854
117,5.0979410000000005,UDP1.VIDEO_REX_REQ_V3,860
118,5.0979410000000005,UDP1.VIDEO_REX_REQ_V3,862
119,5.0979410000000005,UDP1.VIDEO_REX_REQ_V3,864
120,5.0979410000000005,UDP1.VIDEO_REX_REQ_V3,865
121,5.0979410000000005,UDP1.VIDEO_REX_REQ_V3,867
122,5.1032910000000005,UDP1.VIDEO4_ARQ_RES,822
123,5.123121,UDP1.VIDEO_REX_REQ_V3,830
124,5.123121,UDP1.VIDEO_REX_REQ_V3,847
125,5.123121,UDP1.VIDEO_REX_REQ_V3,851
126,5.123121,UDP1.VIDEO_REX_REQ_V3,852
127,5.123121,UDP1.VIDEO_REX_REQ_V3,854
128,5.135432,UDP1.VIDEO4_ARQ_RES,860
129,5.135432,UDP1.VIDEO4_ARQ_RES,862
130,5.135432,UDP1.VIDEO4_ARQ_RES,864
131,5.135432,UDP1.VIDEO4_ARQ_RES,865
132,5.135433,UDP1.VIDEO4_ARQ_RES,867
133,5.15674,UDP1.VIDEO4_ARQ_RES,830
134,5.15674,UDP1.VIDEO4_ARQ_RES,847
135,5.15674,UDP1.VIDEO4_ARQ_RES,851
136,5.156741,UDP1.VIDEO4_ARQ_RES,852
137,5.156741,UDP1.VIDEO4_ARQ_RES,854
138,5.174978,UDP1.VIDEO_REX_REQ_V3,860
139,5.174978,UDP1.VIDEO_REX_REQ_V3,862
140,5.174978,UDP1.VIDEO_REX_REQ_V3,864
141,5.174978,UDP1.VIDEO_REX_REQ_V3,865
142,5.174978,UDP1.VIDEO_REX_REQ_V3,869
143,5.174978,UDP1.VIDEO_REX_REQ_V3,870
144,5.174978,UDP1.VIDEO_REX_REQ_V3,871
145,5.174978,UDP1.VIDEO_REX_REQ_V3,872
146,5.174978,UDP1.VIDEO_REX_REQ_V3,873
147,5.174978,UDP1.VIDEO_REX_REQ_V3,874
148,5.198222,UDP1.VIDEO_REX_REQ_V3,830
149,5.198222,UDP1.VIDEO_REX_REQ_V3,847
150,5.198222,UDP1.VIDEO_REX_REQ_V3,851
151,5.198222,UDP1.VIDEO_REX_REQ_V3,852
152,5.215756,UDP1.VIDEO4_ARQ_RES,860
153,5.215756,UDP1.VIDEO4_ARQ_RES,862
154,5.215756,UDP1.VIDEO4_ARQ_RES,864
155,5.215757,UDP1.VIDEO4_ARQ_RES,865
156,5.215757,UDP1.VIDEO4_ARQ_RES,869
157,5.215757,UDP1.VIDEO4_ARQ_RES,870
158,5.215757,UDP1.VIDEO4_ARQ_RES,871
159,5.215864,UDP1.VIDEO4_ARQ_RES,872
160,5.215864,UDP1.VIDEO4_ARQ_RES,873
161,5.215864,UDP1.VIDEO4_ARQ_RES,874
162,5.224963,UDP1.VIDEO_REX_REQ_V3,877
163,5.224963,UDP1.VIDEO_REX_REQ_V3,878
164,5.224963,UDP1.VIDEO_REX_REQ_V3,879
165,5.224963,UDP1.VIDEO_REX_REQ_V3,880
166,5.224963,UDP1.VIDEO_REX_REQ_V3,881
167,5.224963,UDP1.VIDEO_REX_REQ_V3,883
168,5.224963,UDP1.VIDEO_REX_REQ_V3,884
169,5.224963,UDP1.VIDEO_REX_REQ_V3,886
170,5.224963,UDP1.VIDEO_REX_REQ_V3,887
171,5.224963,UDP1.VIDEO_REX_REQ_V3,888
172,5.224963,UDP1.VIDEO_REX_REQ_V3,889
